AquaNox	Platinum
King's Bounty: The Legend	Platinum
Blades of Time	Gold
Dead Space	Platinum
Life is Strange	Platinum
Superbrothers: Sword and Sworcery EP	Gold
Rochard	Platinum
Red Faction II	Platinum
Worms Ultimate Mayhem	Platinum
Supreme Commander	Platinum
Ittle Dew	Platinum
Crowntakers	Platinum
Machinarium	Gold
Don't Starve	Platinum
EDGE	Platinum
Outlast	Platinum
Risen 2 - Dark Waters	Platinum
Starpoint Gemini 2	Gold
Yosumin!	Gold
Caravan	Platinum
Secret Files: Tunguska	Platinum
Devil May Cry 4	Gold
Qvadriga	Platinum
Half-Life 2	Platinum
Garry's Mod	Gold
Trine	Platinum
Divinity: Original Sin	Gold
Shadowgrounds: Survivor	Gold
Frozen Synapse	Platinum
STAR WARS Knights of the Old Republic II: The Sith Lords	Gold
Freedom Force	Gold
Borderlands: The Pre-Sequel	Platinum
Legend of Grimrock	Platinum
Call of Duty 4: Modern Warfare	Platinum
Avalanche 2: Super Avalanche	Platinum
Heroes of Might and Magic V	Platinum
Syberia	Gold
Cubemen	Platinum
Mirror's Edge	Platinum
Dark Souls: Prepare to Die Edition	Platinum
Awesomenauts	Platinum
Cities in Motion 2	Gold
The Bard's Tale	Gold
Anodyne	Gold
Tower of Guns	Gold
Stronghold Crusader 2	Gold
Warhammer 40,000: Dawn of War II	Gold
Orcs Must Die! 2	Gold
Sid Meier's Starships	Platinum
SteamWorld Dig	Platinum
Divinity: Dragon Commander	Gold
THE KING OF FIGHTERS 2002 UNLIMITED MATCH	Platinum
TIS-100	Platinum
Assassin's Creed Revelations	Platinum
Borderlands 2	Gold
Bone: The Great Cow Race	Platinum
Gyromancer	Platinum
Osmos	Platinum
Sid Meier's Civilization III	Gold
Magicka	Gold
Shattered Planet	Platinum
Kingdoms of Amalur: Reckoning	Gold
Commandos: Behind Enemy Lines	Gold
Star Trek	Platinum
Oil Rush	Platinum
Big Pharma	Gold
Shantae: Risky's Revenge	Gold
Warlock - Master of the Arcane	Platinum
Summoner	Gold
Risen 3 - Titan Lords	Gold
Keep Talking and Nobody Explodes	Platinum
Sid Meier's Civilization IV	Gold
Shantae and the Pirate's Curse	Gold
Swords and Soldiers HD	Platinum
Supreme Commander 2	Gold
MX vs ATV Reflex	Gold
Killing Floor	Platinum
Alien Breed 3: Descent	Gold
WASTED	Platinum
Intake	Platinum
The Chronicles of Riddick: Assault on Dark Athena	Platinum
Rocket League	Platinum
Two Worlds II	Gold
AI War: Fleet Command	Platinum
X-COM: UFO Defense	Platinum
Space Rangers HD: A War Apart	Platinum
Dishonored	Platinum
100% Orange Juice	Platinum
Railroad Tycoon 3	Platinum
Reus	Gold
Sid Meier's Civilization V	Platinum
Age of Empires III	Gold
The Inner World	Platinum
Hitman: Blood Money	Platinum
Tomb Raider: Legend	Platinum
Velvet Assassin	Gold
Sokobond	Platinum
Hitman: Codename 47	Platinum
Gunpoint	Platinum
Valkyria Chronicles	Platinum
King's Bounty: Armored Princess	Platinum
Sanctum	Gold
Anomaly Warzone Earth	Platinum
Tales of Monkey Island: Chapter 5 - Rise of the Pirate God	Gold
Cogs	Platinum
Baldur's Gate II	Platinum
Medal of Honor	Platinum
Eador Masters of the Broken World	Gold
Rescue: Everyday Heroes	Platinum
Super Meat Boy	Platinum
Rogue Trooper	Platinum
PixelJunk Eden	Gold
Stardew Valley	Gold
Mount and Blade: Warband	Platinum
Puzzle Agent 2	Gold
Door Kickers	Platinum
TRAUMA	Platinum
Thief: Deadly Shadows	Gold
Frontlines: Fuel of War	Platinum
STAR WARS Republic Commando	Platinum
Blackwell Unbound	Platinum
Septerra Core	Platinum
Warhammer 40,000: Dawn of War II - Retribution	Platinum
Shadowrun Returns	Platinum
Sunless Sea	Platinum
The Binding of Isaac	Platinum
BioShock	Gold
Unreal Tournament 3	Platinum
Ori and the Blind Forest	Platinum
FTL: Faster Than Light	Platinum
Puzzle Agent	Platinum
Aquaria	Platinum
Little Inferno	Platinum
Commandos 3: Destination Berlin	Platinum
Unepic	Platinum
The Cave	Platinum
Horizon	Gold
Guilty Gear Isuka	Platinum
Disgaea PC	Platinum
QUBE	Platinum
The Legend of Heroes: Trails in the Sky	Gold
PAYDAY 2	Platinum
Metro 2033	Platinum
RollerCoaster Tycoon 2	Platinum
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome	Gold
To the Moon	Platinum
Symphony	Gold
AquaNox 2: Revelation	Platinum
UFO: Aftermath	Gold
The Last Remnant	Gold
Blackwell Epiphany	Platinum
Commandos 2: Men of Courage	Platinum
STALKER: Shadow of Chernobyl	Gold
Artemis Spaceship Bridge Simulator	Platinum
Tales from the Borderlands	Platinum
Deadfall Adventures	Gold
STAR WARS Jedi Knight II: Jedi Outcast	Gold
Blackwell Convergence	Platinum
The Walking Dead: Season Two	Gold
Prison Architect	Platinum
Worms Reloaded	Gold
Botanicula	Platinum
The Whispered World	Gold
Battlestations: Midway	Platinum
Rag Doll Kung Fu	Gold
Age of Wonders III	Gold
Fallout: New Vegas	Gold
Braid	Platinum
Brütal Legend	Gold
Trine 2	Platinum
X-COM: Interceptor	Platinum
The 39 Steps	Platinum
Blackguards 2	Platinum
Sid Meier's Civilization IV: Colonization	Gold
Dungeon Defenders	Platinum
Star Ruler	Platinum
Max Payne	Platinum
Warhammer: End Times - Vermintide	Gold
Runestone Keeper	Platinum
Serious Sam HD: The First Encounter	Gold
Counter-Strike: Source	Platinum
Chaos on Deponia	Platinum
King's Bounty: Warriors of the North	Gold
The Elder Scrolls V: Skyrim	Gold
Command and Conquer 3: Tiberium Wars	Platinum
Red Faction: Armageddon	Gold
Saints Row 2	Gold
UFO: Extraterrestrials	Gold
FEAR 2: Project Origin	Platinum
Age of Empires II: HD Edition	Platinum
Alpha Protocol	Platinum
Dungeon of the Endless	Platinum
FEZ	Gold
